"GEO_ID","NAME","B25001_001M","B25001_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"310M100US28660","Killeen-Temple-Fort Hood, TX Metro Area","2533","158901",
"310M100US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","1975","148544",
"310M100US28740","Kingston, NY Metro Area","3584","83643",
"310M100US28900","Klamath Falls, OR Micro Area","684","33048",
"310M100US28940","Knoxville, TN Metro Area","2362","316925",
"310M100US29020","Kokomo, IN Metro Area","777","45379",
"310M100US29100","La Crosse, WI-MN Metro Area","891","57065",
"310M100US29140","Lafayette, IN Metro Area","1676","84950",
"310M100US29180","Lafayette, LA Metro Area","960","115795",
"310M100US29300","LaGrange, GA Micro Area","561","28140",
"310M100US29340","Lake Charles, LA Metro Area","1007","85701",
"310M100US29380","Lake City, FL Micro Area","1153","30468",
"310M100US29420","Lake Havasu City-Kingman, AZ Metro Area","442","110908",
"310M100US29460","Lakeland-Winter Haven, FL Metro Area","1325","281278",
"310M100US29540","Lancaster, PA Metro Area","971","203175",
"310M100US29580","Lancaster, SC Micro Area","278","32715",
"310M100US29620","Lansing-East Lansing, MI Metro Area","1569","198982",
"310M100US29700","Laredo, TX Metro Area","388","73686",
"310M100US29740","Las Cruces, NM Metro Area","1038","81750",
"310M100US29820","Las Vegas-Paradise, NV Metro Area","890","841494",
"310M100US29860","Laurel, MS Micro Area","1508","36803",
"310M100US29940","Lawrence, KS Metro Area","1999","46777",
"310M100US30020","Lawton, OK Metro Area","1040","50888",
"310M100US30100","Lebanon, NH-VT Micro Area","961","100104",
"310M100US30140","Lebanon, PA Metro Area","689","55644",
"310M100US30300","Lewiston, ID-WA Metro Area","891","27160",
"310M100US30340","Lewiston-Auburn, ME Metro Area","1066","49105",
"310M100US30460","Lexington-Fayette, KY Metro Area","1629","210395",
"310M100US30500","Lexington Park, MD Micro Area","1177","41368",
"310M100US30620","Lima, OH Metro Area","698","44992",
"310M100US30700","Lincoln, NE Metro Area","1131","127659",
"310M100US30740","Lincolnton, NC Micro Area","332","33664",
"310M100US30780","Little Rock-North Little Rock-Conway, AR Metro Area","2160","307583",
"310M100US30860","Logan, UT-ID Metro Area","888","42013",
"310M100US30980","Longview, TX Metro Area","1453","86997",
"310M100US31020","Longview, WA Metro Area","974","43457",
"310M100US31100","Los Angeles-Long Beach-Santa Ana, CA Metro Area","5156","4493949",
"310M100US31140","Louisville/Jefferson County, KY-IN Metro Area","2640","559947",
"310M100US31180","Lubbock, TX Metro Area","1330","118765",
"310M100US31260","Lufkin, TX Micro Area","728","35600",
"310M100US31300","Lumberton, NC Micro Area","569","52731",
"310M100US31340","Lynchburg, VA Metro Area","2158","111698",
"310M100US31420","Macon, GA Metro Area","1949","101346",
"310M100US31460","Madera-Chowchilla, CA Metro Area","662","49156",
"310M100US31540","Madison, WI Metro Area","1236","253075",
"310M100US31700","Manchester-Nashua, NH Metro Area","2169","166106",
"310M100US31740","Manhattan, KS Metro Area","1193","51798",
"310M100US31820","Manitowoc, WI Micro Area","358","37192",
"310M100US31860","Mankato-North Mankato, MN Metro Area","1111","39125",
"310M100US31900","Mansfield, OH Metro Area","548","54578",
"310M100US31940","Marinette, WI-MI Micro Area","1272","44661",
"310M100US31980","Marion, IN Micro Area","551","30437",
"310M100US32020","Marion, OH Micro Area","959","27818",
"310M100US32060","Marion-Herrin, IL Micro Area","336","30386",
"310M100US32100","Marquette, MI Micro Area","686","34345",
"310M100US32220","Marshall, TX Micro Area","501","27735",
"310M100US32270","Marshfield-Wisconsin Rapids, WI Micro Area","301","34093",
"310M100US32300","Martinsville, VA Micro Area","1079","32796",
"310M100US32420","Mayag?ez, PR Metro Area","1401","49789",
"310M100US32580","McAllen-Edinburg-Mission, TX Metro Area","406","248989",
"310M100US32740","Meadville, PA Micro Area","913","44666",
"310M100US32780","Medford, OR Metro Area","590","90964",
"310M100US32820","Memphis, TN-MS-AR Metro Area","2391","550002",
"310M100US32900","Merced, CA Metro Area","632","83690",
"310M100US32940","Meridian, MS Micro Area","1779","48133",
"310M100US33100","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","3771","2464604",
"310M100US33140","Michigan City-La Porte, IN Metro Area","1261","48454",
"310M100US33220","Midland, MI Micro Area","375","35951",
"310M100US33260","Midland, TX Metro Area","850","54428",
"310M100US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","1647","669992",
"310M100US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","2430","1355594",
"310M100US33500","Minot, ND Micro Area","554","30985",
"310M100US33540","Missoula, MT Metro Area","738","50153",
"310M100US33660","Mobile, AL Metro Area","1028","178726",
"310M100US33700","Modesto, CA Metro Area","1292","179516",
"310M100US33740","Monroe, LA Metro Area","2403","76374",
"310M100US33780","Monroe, MI Metro Area","1592","62942",
"310M100US33860","Montgomery, AL Metro Area","1877","161623",
"310M100US33980","Morehead City, NC Micro Area","277","48186",
"310M100US34060","Morgantown, WV Metro Area","1052","57143",
"310M100US34100","Morristown, TN Metro Area","1598","60440",
"310M100US34180","Moses Lake, WA Micro Area","688","35114",
"310M100US34340","Mount Airy, NC Micro Area","346","33665",
"310M100US34380","Mount Pleasant, MI Micro Area","781","28355",
"310M100US34580","Mount Vernon-Anacortes, WA Metro Area","734","51504",
"310M100US34620","Muncie, IN Metro Area","901","52338",
"310M100US34740","Muskegon-Norton Shores, MI Metro Area","1315","73515",
"310M100US34780","Muskogee, OK Micro Area","1570","30904",
"310M100US34820","Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area","647","186294",
"310M100US34900","Napa, CA Metro Area","950","54769",
"310M100US34940","Naples-Marco Island, FL Metro Area","326","197463",
"310M100US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","3207","669349",
"310M100US35100","New Bern, NC Micro Area","1388","57970",
"310M100US35260","New Castle, PA Micro Area","549","40964",
"310M100US35300","New Haven-Milford, CT Metro Area","1093","361966",
"310M100US35340","New Iberia, LA Micro Area","532","29733",
"310M100US35380","New Orleans-Metairie-Kenner, LA Metro Area","2066","538739",
"310M100US35420","New Philadelphia-Dover, OH Micro Area","558","40192",
"310M100US35620","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area","5412","7528017",
"310M100US35660","Niles-Benton Harbor, MI Metro Area","680","76903",
"310M100US35840","North Port-Bradenton-Sarasota, FL Metro Area","1000","401323",
"310M100US35900","North Wilkesboro, NC Micro Area","435","33071",
"310M100US35980","Norwich-New London, CT Metro Area","1183","121061",
"310M100US36020","Oak Harbor, WA Micro Area","396","40270",
"310M100US36100","Ocala, FL Metro Area","621","164028",
"310M100US36140","Ocean City, NJ Metro Area","485","98373",
"310M100US36220","Odessa, TX Metro Area","359","53070",
"310M100US36260","Ogden-Clearfield, UT Metro Area","877","187689",
"310M100US36300","Ogdensburg-Massena, NY Micro Area","1101","52120",
"310M100US36420","Oklahoma City, OK Metro Area","2236","538657",
"310M100US36460","Olean, NY Micro Area","575","41106",
"310M100US36500","Olympia, WA Metro Area","1693","108458",
"310M100US36540","Omaha-Council Bluffs, NE-IA Metro Area","1792","363171",
"310M100US36660","Opelousas-Eunice, LA Micro Area","419","35731",
"310M100US36700","Orangeburg, SC Micro Area","746","42526",
"310M100US36740","Orlando-Kissimmee-Sanford, FL Metro Area","2371","943029",
"310M100US36780","Oshkosh-Neenah, WI Metro Area","764","73389",
"310M100US36860","Ottawa-Streator, IL Micro Area","557","68549",
"310M100US36980","Owensboro, KY Metro Area","1130","49636",
"310M100US37020","Owosso, MI Micro Area","247","30305",
"310M100US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","2606","281681",
"310M100US37140","Paducah, KY-IL Micro Area","1179","46761",
"310M100US37260","Palatka, FL Micro Area","299","37311",
"310M100US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","969","269975",
"310M100US37380","Palm Coast, FL Metro Area","28","48615",
"310M100US37460","Panama City-Lynn Haven-Panama City Beach, FL Metro Area","860","99690",
"310M100US37620","Parkersburg-Marietta-Vienna, WV-OH Metro Area","1188","75146",
"310M100US37700","Pascagoula, MS Metro Area","855","69983",
"310M100US37820","Pendleton-Hermiston, OR Micro Area","854","33962",
"310M100US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","1873","201613",
"310M100US37900","Peoria, IL Metro Area","2753","164540",
"310M100US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5077","2434185",
"310M100US38060","Phoenix-Mesa-Glendale, AZ Metro Area","2549","1800056",
"310M100US38220","Pine Bluff, AR Metro Area","1934","42160",
"310M100US38300","Pittsburgh, PA Metro Area","4632","1102173",
"310M100US38340","Pittsfield, MA Metro Area","790","68502",
"310M100US38460","Plattsburgh, NY Micro Area","716","35910",
"310M100US38540","Pocatello, ID Metro Area","738","36116",
"310M100US38660","Ponce, PR Metro Area","1930","99965",
"310M100US38820","Port Angeles, WA Micro Area","498","35605",
"310M100US38860","Portland-South Portland-Biddeford, ME Metro Area","1128","262881",
"310M100US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","1909","925762",
