"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"310M100US24580","Green Bay, WI Metro Area","2400","49016",
"310M100US24620","Greeneville, TN Micro Area","4923","35196",
"310M100US24660","Greensboro-High Point, NC Metro Area","843","41120",
"310M100US24780","Greenville, NC Metro Area","2193","39664",
"310M100US24860","Greenville-Mauldin-Easley, SC Metro Area","1725","42640",
"310M100US24940","Greenwood, SC Micro Area","4310","30808",
"310M100US25020","Guayama, PR Metro Area","1888","18991",
"310M100US25060","Gulfport-Biloxi, MS Metro Area","2108","41875",
"310M100US25180","Hagerstown-Martinsburg, MD-WV Metro Area","2085","50529",
"310M100US25220","Hammond, LA Micro Area","3977","37390",
"310M100US25260","Hanford-Corcoran, CA Metro Area","4060","44609",
"310M100US25420","Harrisburg-Carlisle, PA Metro Area","1919","54009",
"310M100US25500","Harrisonburg, VA Metro Area","3269","45188",
"310M100US25540","Hartford-West Hartford-East Hartford, CT Metro Area","1626","63104",
"310M100US25620","Hattiesburg, MS Metro Area","3280","38538",
"310M100US25740","Helena, MT Micro Area","3767","52114",
"310M100US25860","Hickory-Lenoir-Morganton, NC Metro Area","1648","39381",
"310M100US25900","Hilo, HI Micro Area","3778","47100",
"310M100US25940","Hilton Head Island-Beaufort, SC Micro Area","4336","52496",
"310M100US25980","Hinesville-Fort Stewart, GA Metro Area","4794","37536",
"310M100US26100","Holland-Grand Haven, MI Metro Area","1964","53056",
"310M100US26140","Homosassa Springs, FL Micro Area","2747","35459",
"310M100US26180","Honolulu, HI Metro Area","2025","68537",
"310M100US26300","Hot Springs, AR Metro Area","2213","36482",
"310M100US26380","Houma-Bayou Cane-Thibodaux, LA Metro Area","4094","48185",
"310M100US26420","Houston-Sugar Land-Baytown, TX Metro Area","807","53942",
"310M100US26580","Huntington-Ashland, WV-KY-OH Metro Area","1957","36022",
"310M100US26620","Huntsville, AL Metro Area","2230","52384",
"310M100US26660","Huntsville, TX Micro Area","3891","35806",
"310M100US26740","Hutchinson, KS Micro Area","4922","41946",
"310M100US26820","Idaho Falls, ID Metro Area","2923","50113",
"310M100US26860","Indiana, PA Micro Area","3129","41162",
"310M100US26900","Indianapolis-Carmel, IN Metro Area","970","48867",
"310M100US26980","Iowa City, IA Metro Area","3261","48425",
"310M100US27060","Ithaca, NY Metro Area","3897","52064",
"310M100US27100","Jackson, MI Metro Area","3048","42862",
"310M100US27140","Jackson, MS Metro Area","1847","42501",
"310M100US27180","Jackson, TN Metro Area","2815","40464",
"310M100US27260","Jacksonville, FL Metro Area","992","50324",
"310M100US27340","Jacksonville, NC Metro Area","1598","41787",
"310M100US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","2516","40443",
"310M100US27500","Janesville, WI Metro Area","2429","46758",
"310M100US27620","Jefferson City, MO Metro Area","2617","51742",
"310M100US27740","Johnson City, TN Metro Area","1669","36791",
"310M100US27780","Johnstown, PA Metro Area","2053","41220",
"310M100US27860","Jonesboro, AR Metro Area","2641","35526",
"310M100US27900","Joplin, MO Metro Area","1637","38448",
"310M100US27980","Kahului-Wailuku, HI Micro Area","5852","60617",
"310M100US28020","Kalamazoo-Portage, MI Metro Area","1727","43634",
"310M100US28060","Kalispell, MT Micro Area","3142","41854",
"310M100US28100","Kankakee-Bradley, IL Metro Area","3393","44784",
"310M100US28140","Kansas City, MO-KS Metro Area","1155","53919",
"310M100US28180","Kapaa, HI Micro Area","5590","55246",
"310M100US28300","Keene, NH Micro Area","3847","48030",
"310M100US28420","Kennewick-Pasco-Richland, WA Metro Area","3184","56407",
"310M100US28580","Key West, FL Micro Area","2990","50619",
"310M100US28660","Killeen-Temple-Fort Hood, TX Metro Area","2011","49778",
"310M100US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","1926","34741",
"310M100US28740","Kingston, NY Metro Area","2590","51301",
"310M100US28900","Klamath Falls, OR Micro Area","4744","37660",
"310M100US28940","Knoxville, TN Metro Area","1826","43114",
"310M100US29020","Kokomo, IN Metro Area","3457","41180",
"310M100US29100","La Crosse, WI-MN Metro Area","2396","47696",
"310M100US29140","Lafayette, IN Metro Area","2910","40577",
"310M100US29180","Lafayette, LA Metro Area","3966","46730",
"310M100US29300","LaGrange, GA Micro Area","5928","41477",
"310M100US29340","Lake Charles, LA Metro Area","2535","40194",
"310M100US29380","Lake City, FL Micro Area","3184","32488",
"310M100US29420","Lake Havasu City-Kingman, AZ Metro Area","1583","36456",
"310M100US29460","Lakeland-Winter Haven, FL Metro Area","1242","41174",
"310M100US29540","Lancaster, PA Metro Area","1393","51740",
"310M100US29580","Lancaster, SC Micro Area","4376","35634",
"310M100US29620","Lansing-East Lansing, MI Metro Area","1414","47731",
"310M100US29700","Laredo, TX Metro Area","2841","35770",
"310M100US29740","Las Cruces, NM Metro Area","2850","35230",
"310M100US29820","Las Vegas-Paradise, NV Metro Area","840","51437",
"310M100US29860","Laurel, MS Micro Area","2280","35438",
